Game Name,Description,Link,Image Filename
2064: Read Only Memories,"2064: Read Only Memories is a cyberpunk thriller that explores the social challenges of tomorrow through classic adventure gaming. A journalist-turned-detective teams up with Turing, the world’s first sapient machine, to unmask a conspiracy that will shake the foundations of Neo-San Francisco.",https://store.steampowered.com/app/330820/2064_Read_Only_Memories/,2064.jpg
"Get In The Car, Loser!","A lesbian road trip RPG by the co-creator of Ladykiller in a Bind about fighting for love and justice in the face of indifference, inspired by choice-driven visual novels, and a battle system influenced by classic and modern JRPGs. WILL YOU STAND AND FIGHT IN THE FACE OF EVIL?",https://store.steampowered.com/app/938860/Get_In_The_Car_Loser/,Get in the car loser.jpg
A Mortician's Tale,"A Mortician's Tale is a short, story-driven game about a mortician tasked with running a funeral home.",https://store.steampowered.com/app/578720/A_Morticians_Tale/,MorticiansTale.jpg
A Normal Lost Phone,A Normal Lost Phone is a game about exploring the intimacy of an unknown person whose phone was found by the player.,https://store.steampowered.com/app/523210/A_Normal_Lost_Phone/,ANormalLostPhone.jpg
The World Next Door,"An addictive mix of lightning-fast puzzle battles, powerful storytelling and immersive visual novel elements, The World Next Door follows Jun, a rebellious teen girl trapped in a parallel realm inhabited by magical creatures, who must find her way home before time runs out.",https://store.steampowered.com/app/755470/The_World_Next_Door/,WorldNextDoor.jpg
Secret Little Haven,"An adventure game about old computers, community, creativity, fandom, gender, and the internet. Alex Cole is a teenage trans girl in 1999 who has yet to figure herself out. She spends much of her free time on the internet, browsing a fan forum for her favorite magical girl show, and chatting with her friends.",https://store.steampowered.com/app/827290/Secret_Little_Haven/,SecretLittleHaven.jpg
Fragments of Him,"An emotional and immersive game about a man named Will and the people close to him. Experience his life through a story about love, memories and hope.",https://store.steampowered.com/app/428540/Fragments_of_Him/,FragmentsOfHim.jpg
Princess Remedy 2: In A Heap of Trouble,"An enormous Boss Tower has sprung from the ground, lifting entire towns up with it. Now, the people living on the tower are starting to contract all sorts of mysterious illnesses. Princess Remedy, still in Saturnian healing school, must use her powers to heal everyone and defeat the Boss Tower!",https://store.steampowered.com/app/522040/Princess_Remedy_2_In_A_Heap_of_Trouble/,PrincessRemedy2.jpg
Ladykiller in a Bind,"An erotic romantic comedy about social manipulation, crossdressing, and girls tying up other girls. Will the hapless lesbian ladykiller Beast succeed at pretending to be her ruthless twin? By the creators of Analogue: A Hate Story, featuring choice-driven mechanics... and lots of sex.",https://store.steampowered.com/app/560000/Ladykiller_in_a_Bind/,Ladykiller.jpg
Assassin's Creed Odyssey,"Choose your fate in Assassin's Creed® Odyssey. From outcast to living legend, embark on an odyssey to uncover the secrets of your past and change the fate of Ancient Greece.",https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/,AssassinsCreedOdyssey.jpg
Diaries of a Spaceport Janitor,"Diaries of a Spaceport Janitor is an anti-adventure game about picking up trash in an alien bazaar. Play as the Janitor, an Alaensee girlbeast with a municipally-subsidized trash incineration job and dreams of leaving the planet of Xabran's Rock far behind her.",https://store.steampowered.com/app/436500/Diaries_of_a_Spaceport_Janitor/,Diaries.jpg
Dream Daddy: A Dad Dating Simulator,"Dream Daddy: A Dad Dating Simulator is a game where you play as a Dad and your goal is to meet and romance other hot Dads. Are you ready? Hi ready, I'm Dad.",https://store.steampowered.com/app/654880/Dream_Daddy_A_Dad_Dating_Simulator/,DreamDaddy.jpg
The Pirate's Fate,"Embark on a swashbuckling adventure in The Pirate's Fate, a visual novel experience with a unique twist: the story, the crew, and who you are transform based on your choices. Seek treasure, find love, and choose your fate.",https://store.steampowered.com/app/553480/The_Pirates_Fate/,ThePiratesFate.jpg
Even the Ocean,Even the Ocean is a narrative action platformer about balancing the Light and Dark energies that hold the world together.,https://store.steampowered.com/app/265470/Even_the_Ocean/,EvenTheOcean.jpg
Another Lost Phone: Laura's Story,Explore the social life of Laura in this spiritual sequel to A Normal Lost Phone.,https://store.steampowered.com/app/689910/Another_Lost_Phone_Lauras_Story/,AnotherLostPhone.jpg
Drowning Cross,"Find your boyfriend before the night takes him away forever. It's all your fault, after all! Just like always.",https://store.steampowered.com/app/1091960/Drowning_Cross/,DrowningCross.jpg
