Streamer Name,Twitch Link,Personal Website Link,Social Media Link,Bio,Picture
Matty_Qu,https://www.twitch.tv/matty_qu,,https://twitter.com/home,"Hi! Name is Matty_qu, I'm a queer streamer here to scream a smile on everyone's faces.  I enjoy a variety of games, but I play mostly asymmetrical horror and sims.  Also, my favorite color is mint. ",Matty_Qu.jpg
quinnntastic,https://twitch.tv/quinnntastic,https://tastic.me/,https://twitter.com/quinnntastic_,"I am a queer nonbinary disabled/chronically ill Latinx TTRPG creator, writer, and streamer! I advocate for stronger representation of marginalized groups across media, especially in gaming.  ",quinnntastic.jpg
Dagonmar,https://twitch.tv/dagonmar,http://www.dagonmar.tv,https://twitter.com/dagonmartv,"Dagonmar is a lewd streamer with a focus on story-heavy games. From lewd and outrgeous comedy, to cute puppy dogs, Dagonmar and his community has something for everyone. Also, his chat sometimes literally turns him into a wolf, but he's definitely (maybe) not a furry.",Dagonmar.jpg
Dubusaeyo,https://www.twitch.tv/dubusaeyo,https://dubusaeyo.tv,https://www.twitter.com/dubusaeyo,"I am a chill Twitch streamer who identifies as asexual, aromantic and agender. I love to play a variety of games, especially story and LGBTQIA+ themed games.",Dubusaeyo.jpg
J0hnJ0hnn,https://www.twitch.tv/j0hnj0hnn,,https://www.twitter.com/j0hn_j0hnn,"I'm a 29 year old proud, body positive gay man.  I'm a variety streamer on Twitch and the Co-Founder of Rainbow Arcade, an all LGBTQIA+ Stream Team on Twitch.  I love to make people laugh with my quick wit and bubbly personality. ",J0hnJ0hnn.jpg
JeffBrutlag,https://twitch.tv/jeffbrutlag,https://jeffbrutlag.com,https://twitter.com/jeffbrutlag,"I'm a gay streamer focused on story-driven games, horror games, and some simulation games! I'm also a team leader for the Plant Army, a team centered around chat interaction, inclusivity, and positivity. I enjoy Sailor Moon, Bayonetta, coffee, and some of my favorite games include Final Fantasy, Silent Hill, and Fire Emblem!",JeffBrutlag.jpg
veritasunae,https://www.twitch.tv/veritasunae,,https://www.twitter.com/veritasunae,"I'm a pansexual, agender streamer from Australia, who loves both playing and working on visual novels in between my doctoral work at university. I also really enjoy platformers, puzzle games and all things Nintendo. The primary game I have been working on lately features a transgender main character, and many other LGBTQIA+ characters; it is a real joy to put something like that out into the world.",veritasunae.jpg
Gabethegamer2011,https://www.twitch.tv/gabethegamer2011,,https://twitter.com/Gabethegamer202 ," I am a 26 Latin Gay Boy Living the Cali Dream, I'm  a Variety  Caster  on Twitch  with a Great Attitude, Laided  back   nd ready  to make friendships and give  you a safe space to chill.",Gabethegamer2011.jpg
Sierra Myst,https://www.twitch.tv/sierraxmyst,,https://www.twitter.com/sierraxmyst,"Sierra Myst is a drag queen from space. She offers fun, creative content in her drag streams followed by a variety of fun games like Animal Crossing, Pokemon, and FF:XIV.",SierraMyst.jpg
SGAK,https://www.twitch.tv/sgak,https://sgak19.wixsite.com/stellan,https://twitter.com/sgak,I'm that weird-looking nerdy gay pinko commie gamer who is also cuddly and nice (Stellan from Sweden). ,SGAK.jpg
